DAY,DAILY_REVENUE,DAILY_EXPENSE,NET_PROFIT
2023-05-15 00:00:00.000,18.253983333,18.253983333,0
2023-05-14 00:00:00.000,0,0,0
2023-05-13 00:00:00.000,0,0,0
2023-05-12 00:00:00.000,0,0,0
2023-05-11 00:00:00.000,0,0,0
2023-05-10 00:00:00.000,0,0,0
2023-05-09 00:00:00.000,0,0,0
2023-05-08 00:00:00.000,0,0,0
2023-05-07 00:00:00.000,0,0,0
2023-05-06 00:00:00.000,0,0,0
2023-05-05 00:00:00.000,0,0,0
2023-05-04 00:00:00.000,0,0,0
2023-05-03 00:00:00.000,0,0,0
2023-05-02 00:00:00.000,0,0,0
2023-05-01 00:00:00.000,0,0,0
2023-04-30 00:00:00.000,20.985350833,0,20.985350833
2023-04-29 00:00:00.000,0,0,0
2023-04-28 00:00:00.000,0,0,0
2023-04-27 00:00:00.000,23.007403833,0,23.007403833
2023-04-26 00:00:00.000,0,0,0
2023-04-25 00:00:00.000,20.17632375,0,20.17632375
2023-04-24 00:00:00.000,0,0,0
2023-04-23 00:00:00.000,0,0,0
2023-04-22 00:00:00.000,0,0,0
2023-04-21 00:00:00.000,0,0,0
2023-04-20 00:00:00.000,0,0,0
2023-04-19 00:00:00.000,0,0,0
2023-04-18 00:00:00.000,0,0,0
2023-04-17 00:00:00.000,0,0,0
2023-04-16 00:00:00.000,0,0,0
2023-04-15 00:00:00.000,0,0,0
2023-04-14 00:00:00.000,0,0,0
2023-04-13 00:00:00.000,0,0,0
2023-04-12 00:00:00.000,45.780612167,0,45.780612167
2023-04-11 00:00:00.000,0,0,0
2023-04-10 00:00:00.000,0,0,0
2023-04-09 00:00:00.000,60.98497625,0,60.98497625
2023-04-08 00:00:00.000,0,0,0
2023-04-07 00:00:00.000,0,0,0
2023-04-06 00:00:00.000,0,0,0
2023-04-05 00:00:00.000,0,0,0
2023-04-04 00:00:00.000,36.879666667,0,36.879666667
2023-04-03 00:00:00.000,18021.3665625,0,18021.3665625
2023-04-02 00:00:00.000,36.219908333,0,36.219908333
2023-04-01 00:00:00.000,0,0,0
2023-03-31 00:00:00.000,135.87115625,0,135.87115625
2023-03-30 00:00:00.000,152.574858333,0,152.574858333
2023-03-29 00:00:00.000,65.38250125,0,65.38250125
2023-03-28 00:00:00.000,52.1662125,0,52.1662125
2023-03-27 00:00:00.000,38.413255833,0,38.413255833
2023-03-26 00:00:00.000,17.702966667,0,17.702966667
2023-03-25 00:00:00.000,0,0,0
2023-03-24 00:00:00.000,531.92019375,0,531.92019375
2023-03-23 00:00:00.000,71.386216667,0,71.386216667
2023-03-22 00:00:00.000,179.438208333,0,179.438208333
﻿
